Participante,Modalidad,Edad,Género,Grupo,Validez_sil1,Validez_sil2,Validez_sil3,Validez_sil4,Validez_sil5,Validez_sil6,Validez_sil7,Validez_sil8,Creencia_sil1,Creencia_sil2,Creencia_sil3,Creencia_sil4,Creencia_sil5,Creencia_sil6,Creencia_sil7,Creencia_sil8,ValidezxCreencia_sil1,ValidezxCreencia_sil2,ValidezxCreencia_sil3,ValidezxCreencia_sil4,ValidezxCreencia_sil5,ValidezxCreencia_sil6,ValidezxCreencia_sil7,ValidezxCreencia_sil8,Aceptación_sil1,Aceptación_sil2,Aceptación_sil3,Aceptación_sil4,Aceptación_sil5,Aceptación_sil6,Aceptación_sil7,Aceptación_sil8,Correctas_sil1,Correctas_sil2,Correctas_sil3,Correctas_sil4,Correctas_sil5,Correctas_sil6,Correctas_sil7,Correctas_sil8,indice_creencia_norm
237,Resolución Grupal,18,F,26,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1.0
238,Resolución Grupal,18,F,26,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1.0
239,Resolución Grupal,18,F,26,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1.0
240,Grupal entre sujetos,19,F,27,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
240,Resolución Individual Post,19,F,27,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
240,Resolución Individual Pre,19,F,27,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0.75
241,Grupal entre sujetos,19,F,27,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
241,Resolución Individual Post,19,F,27,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
241,Resolución Individual Pre,19,F,27,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0.0
242,Grupal entre sujetos,19,F,27,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
242,Resolución Individual Post,19,F,27,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
242,Resolución Individual Pre,19,F,27,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,-0.25
243,Grupal entre sujetos,19,F,27,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
243,Resolución Individual Post,19,F,27,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
243,Resolución Individual Pre,19,F,27,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
244,Grupal entre sujetos,19,M,27,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
244,Resolución Individual Post,19,M,27,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
244,Resolución Individual Pre,19,M,27,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0.25
245,Grupal entre sujetos,19,O,28,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
245,Resolución Individual Post,19,O,28,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
245,Resolución Individual Pre,19,O,28,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
246,Grupal entre sujetos,19,F,28,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
246,Resolución Individual Post,19,F,28,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
246,Resolución Individual Pre,19,F,28,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0.75
247,Grupal entre sujetos,19,F,28,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
247,Resolución Individual Post,19,F,28,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
247,Resolución Individual Pre,19,F,28,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0
248,Grupal entre sujetos,21,M,28,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
248,Resolución Individual Post,21,M,28,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,-0.25
248,Resolución Individual Pre,21,M,28,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0.75
249,Grupal entre sujetos,19,F,28,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
249,Resolución Individual Post,19,F,28,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0.5
249,Resolución Individual Pre,19,F,28,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0.75
250,Grupal entre sujetos,19,F,29,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0.25
250,Resolución Individual Post,19,F,29,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0.25
250,Resolución Individual Pre,19,F,29,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0
251,Grupal entre sujetos,20,F,29,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0.25
251,Resolución Individual Post,20,F,29,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0.25
251,Resolución Individual Pre,20,F,29,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,-0.25
252,Grupal entre sujetos,19,F,29,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0.25
252,Resolución Individual Post,19,F,29,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0.25
252,Resolución Individual Pre,19,F,29,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,-0.25
253,Grupal entre sujetos,19,F,29,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0.25
253,Resolución Individual Post,19,F,29,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0.25
253,Resolución Individual Pre,19,F,29,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0.25
254,Grupal entre sujetos,21,F,29,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0.25
254,Resolución Individual Post,21,F,29,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0.25
254,Resolución Individual Pre,21,F,29,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0.5
255,Grupal entre sujetos,19,F,30,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0.5
255,Resolución Individual Post,19,F,30,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0.75
255,Resolución Individual Pre,19,F,30,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,-0.25
256,Grupal entre sujetos,21,F,30,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0.5
256,Resolución Individual Post,21,F,30,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0.5
256,Resolución Individual Pre,21,F,30,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1.0
257,Grupal entre sujetos,19,M,30,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0.5
257,Resolución Individual Post,19,M,30,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0.75
257,Resolución Individual Pre,19,M,30,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0.75
258,Grupal entre sujetos,20,M,30,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0.5
258,Resolución Individual Post,20,M,30,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0.5
258,Resolución Individual Pre,20,M,30,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0.0
259,Grupal entre sujetos,20,M,30,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0.5
259,Resolución Individual Post,20,M,30,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0.5
259,Resolución Individual Pre,20,M,30,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0.5
260,Grupal entre sujetos,19,F,31,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0.25
260,Resolución Individual Post,19,F,31,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
260,Resolución Individual Pre,19,F,31,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
261,Grupal entre sujetos,19,M,31,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0.25
261,Resolución Individual Post,19,M,31,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0.25
261,Resolución Individual Pre,19,M,31,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,-0.25
262,Grupal entre sujetos,19,F,31,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0.25
262,Resolución Individual Post,19,F,31,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0.0
262,Resolución Individual Pre,19,F,31,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0.5
263,Grupal entre sujetos,19,F,31,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0.25
263,Resolución Individual Post,19,F,31,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0.25
263,Resolución Individual Pre,19,F,31,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0.0
264,Grupal entre sujetos,20,M,31,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0.25
264,Resolución Individual Post,20,M,31,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0.0
264,Resolución Individual Pre,20,M,31,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0.75
265,Grupal entre sujetos,19,F,32,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
265,Resolución Individual Post,19,F,32,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,-0.25
265,Resolución Individual Pre,19,F,32,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
266,Grupal entre sujetos,31,M,32,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
266,Resolución Individual Post,31,M,32,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0.5
266,Resolución Individual Pre,31,M,32,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0.5
267,Grupal entre sujetos,19,F,32,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
267,Resolución Individual Post,19,F,32,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
267,Resolución Individual Pre,19,F,32,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,0,-0.25
268,Grupal entre sujetos,19,F,32,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
268,Resolución Individual Post,19,F,32,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
268,Resolución Individual Pre,19,F,32,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0.5
269,Grupal entre sujetos,19,F,32,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
269,Resolución Individual Post,19,F,32,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
269,Resolución Individual Pre,19,F,32,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,-0.5
270,Grupal entre sujetos,19,F,33,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0
270,Resolución Individual Post,19,F,33,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,-0.25
270,Resolución Individual Pre,19,F,33,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
271,Grupal entre sujetos,19,F,33,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0
271,Resolución Individual Post,19,F,33,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0
271,Resolución Individual Pre,19,F,33,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0.25
272,Grupal entre sujetos,21,F,33,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0
272,Resolución Individual Post,21,F,33,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
272,Resolución Individual Pre,21,F,33,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,0.5
273,Grupal entre sujetos,19,F,33,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0
273,Resolución Individual Post,19,F,33,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0
273,Resolución Individual Pre,19,F,33,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0.75
274,Grupal entre sujetos,20,M,33,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0
274,Resolución Individual Post,20,M,33,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0.0
274,Resolución Individual Pre,20,M,33,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0.0
275,Grupal entre sujetos,19,F,34,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
275,Resolución Individual Post,19,F,34,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
275,Resolución Individual Pre,19,F,34,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0.0
276,Grupal entre sujetos,19,F,34,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
276,Resolución Individual Post,19,F,34,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
276,Resolución Individual Pre,19,F,34,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
277,Grupal entre sujetos,19,F,34,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
277,Resolución Individual Post,19,F,34,V,V,I,I,V,V,I,I,C,I,C,I,C,I,C,I,VC,VI,IC,II,VC,VI,IC,II,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.25
